script,processes,threads,mean,ci
mandelbrot_mpi_ompi,1,1,26.392380010,0.376237832
mandelbrot_mpi_ompi,1,2,25.298277909,0.006272014
mandelbrot_mpi_ompi,1,4,25.281704728,0.004700929
mandelbrot_mpi_ompi,1,8,25.281182790,0.004700832
mandelbrot_mpi_ompi,1,16,25.275931035,0.004699855
mandelbrot_mpi_ompi,1,32,25.238590271,0.003128608
mandelbrot_mpi_ompi,8,1,9.272021585,0.015516518
mandelbrot_mpi_ompi,8,2,9.343003770,0.034166037
mandelbrot_mpi_ompi,8,4,9.294780302,0.020739472
mandelbrot_mpi_ompi,8,8,9.269432759,0.029875321
mandelbrot_mpi_ompi,8,16,9.222270718,0.013146852
mandelbrot_mpi_ompi,8,32,9.226505161,0.021158994
mandelbrot_mpi_ompi,16,1,9.018743328,0.067078500
mandelbrot_mpi_ompi,16,2,8.885424480,0.036347805
mandelbrot_mpi_ompi,16,4,9.058909329,0.066254288
mandelbrot_mpi_ompi,16,8,8.999841241,0.051319066
mandelbrot_mpi_ompi,16,16,9.057414368,0.053892898
mandelbrot_mpi_ompi,16,32,8.894366603,0.015435799
mandelbrot_mpi_ompi,32,1,9.304721831,0.041523310
mandelbrot_mpi_ompi,32,2,9.386139106,0.034323777
mandelbrot_mpi_ompi,32,4,9.353792375,0.034785243
mandelbrot_mpi_ompi,32,8,9.186935919,0.033595319
mandelbrot_mpi_ompi,32,16,9.179262253,0.042101306
mandelbrot_mpi_ompi,32,32,9.305034872,0.047292027
mandelbrot_mpi_ompi,64,1,10.294873336,0.033818392
mandelbrot_mpi_ompi,64,2,10.446364460,0.028488785
mandelbrot_mpi_ompi,64,4,10.353787072,0.039145797
mandelbrot_mpi_ompi,64,8,10.475160835,0.029216574
mandelbrot_mpi_ompi,64,16,10.324420739,0.033275540
mandelbrot_mpi_ompi,64,32,10.302360697,0.032565894
